2010 Census Code,2010 SOC Code
4460,  39-4011
4460,  39-4021
5900, 43-9071
0010,11-1011
0020,11-1021
0030,11-1031
0040,11-2011
0050,11-2020
0060,11-2031
0100,11-3011
0110,11-3021
0120,11-3031
0140,11-3051
0150,11-3061
0160,11-3071
 0135 ,11-3111  
0136,11-3121  
0137,11-3131  
0205,11-9013
0220,11-9021
0230,11-9030
0300,11-9041
0310,11-9051
0325,11-9061
0330,11-9071
0340,11-9081
0350,11-9111
0360,11-9121
0400,11-9131
0410,11-9141
0420,11-9151
0425,11-9161
0430,11-9199
0500,13-1011 
0510,13-1021 
0520,13-1022 
0530,13-1023 
0540,13-1030 
0565,13-1041
0600,13-1051
0630,13-1070 
0700,13-1081 
0710,13-1111 
0725,13-1121 
0726,13-1131
0640,13-1141
0650,13-1151
0735,13-1161
0740,13-1199 
0800,13-2011 
0810,13-2021 
0820,13-2031 
0830,13-2041 
0840,13-2051 
0850,13-2052 
0860,13-2053 
0900,13-2061 
0910,13-2070 
0930,13-2081 
0940,13-2082
0950,13-2099 
1005,15-1111
1006,15-1121 
1007,15-1122
1010,15-1131 
1020,15-1132
1020,15-1133  
1030,15-1134
1060,15-1141 
1105,15-1142  
1106,15-1143  
1050,15-1150  
1107,15-1199
1200,15-2011 
1210,15-2021 
1220,15-2031 
1230,15-2041 
1240,15-2090
1300,17-1010 
1310,17-1020 
1320,17-2011 
1330,17-2021
1340,17-2031
1350,17-2041 
1360,17-2051 
1400,17-2061 
1410,17-2070 
1420,17-2081 
1430,17-2110 
1440,17-2121 
1450,17-2131 
1460,17-2141 
1500,17-2151 
1510,17-2161 
1520,17-2171 
1530,17-2199 
1540,17-3010 
1550,17-3020 
1560,17-3031 
1600,19-1010
1610,19-1020 
1640,19-1030 
1650,19-1040 
1660,19-1099
1700,19-2010 
1710,19-2021 
1720,19-2030 
1740,19-2040 
1760,19-2099 
1800,19-3011 
1815,19-3022 
1820,19-3030 
1830,19-3041 
1840,19-3051 
1860,19-3090
1900,19-4011
1910,19-4021
1920,19-4031
1930,19-4041
1940,19-4051
1950,19-4061
1965,19-4090
2000,21-1010
2010,21-1020
2015,21-1092
2016,21-1093
2025,21-1094
2025,21-1095
2025,21-1096
2025,21-1097
2025,21-1098
2025,21-1099
2040,21-2011
2050,21-2021
2060,21-2099 
2100,23-1011 
2105,23-1012
2110,23-1020
2145,23-2011
2160,23-2090
2200,25-1000
2300,25-2010 
2310,25-2020 
2320,25-2030 
2330,25-2050 
2340,25-3000
2400,25-4010
2430,25-4021
2440,25-4031
2540,25-9041 
2550,25-9042
2550,25-9043
2550,25-9044
2550,25-9045
2550,25-9046
2550,25-9047
2550,25-9048
2550,25-9049
2550,25-9050
2550,25-9051
2550,25-9052
2550,25-9053
2550,25-9054
2550,25-9055
2550,25-9056
2550,25-9057
2550,25-9058
2550,25-9059
2550,25-9060
2550,25-9061
2550,25-9062
2550,25-9063
2550,25-9064
2550,25-9065
2550,25-9066
2550,25-9067
2550,25-9068
2550,25-9069
2550,25-9070
2550,25-9071
2550,25-9072
2550,25-9073
2550,25-9074
2550,25-9075
2550,25-9076
2550,25-9077
2550,25-9078
2550,25-9079
2550,25-9080
2550,25-9081
2550,25-9082
2550,25-9083
2550,25-9084
2550,25-9085
2550,25-9086
2550,25-9087
2550,25-9088
2550,25-9089
2550,25-9090
2550,25-9091
2550,25-9092
2550,25-9093
2550,25-9094
2550,25-9095
2550,25-9096
2550,25-9097
2550,25-9098
2550,25-9099
2600,27-1010 
2630,27-1020 
2700,27-2011
2710,27-2012
2720,27-2020
2740,27-2030
2750,27-2040
2760,27-2099
2800,27-3010
2810,27-3020
2825,27-3031
2830,27-3041
2840,27-3042
2850,27-3043
2860,27-3090
2900,27-4010
2910,27-4021
2920,27-4030
2960,27-4099
3000,29-1011
3010,29-1020 
3030,29-1031
3040,29-1041
3050,29-1051
3060,29-1060 
3110,29-1071
3120,29-1081
3150,29-1122
3160,29-1123 
3200,29-1124
3210,29-1125
3220,29-1126
3230,29-1127
3235,29-1128
3245,29-1129
3250,29-1131
3255,29-1141
3256,29-1151
3257,29-1161
3258,29-1171
3140,29-1181
3260,29-1199 
3300,29-2010
3310,29-2021
3320,29-2030 
3400,29-2041
3420,29-2050 
3500,29-2061
3510,29-2071
3520,29-2081
3535,29-2090
3540,29-9000
3600,31-1010
3610,31-2010
3620,31-2020
3630,31-9011
3640,31-9091
3645,31-9092
3646,31-9094
3647,31-9095
3648,31-9096
3649,31-9097
3655,31-9099
3700,33-1011
3710,33-1012 
3720,33-1021
3730,33-1099
3740,33-2011
3750,33-2020 
3800,33-3010 
3820,33-3021
3830,33-3031
3840,33-3041
3850,33-3051
3860,33-3052 
3900,33-9011
3910,33-9021
3930,33-9030 
3940,33-9091
3945,33-9093
3955,33-9099
4000,35-1011
4010,35-1012
4020,35-2010
4030,35-2021
4040,35-3011
4050,35-3021
4060,35-3022
4110,35-3031
4120,35-3041
4130,35-9011
4140,35-9021
4150,35-9031
4160,35-9099
4200,37-1011
4210,37-1012
4220,37-2011
4230,37-2012
4240,37-2021
4250,37-3010
4300,39-1010
4320,39-1021 
4340,39-2011
4350,39-2021
4400,39-3010
4410,39-3021
4420,39-3031
4430,39-3090 
4465,39-4031
4500,39-5011
4510,39-5012
4520,39-5090
4530,39-6010
4540,39-7010
4600,39-9011
4610,39-9021
4620,39-9030
4640,39-9041
4650,39-9099
4700,41-1011
4710,41-1012
4720,41-2010
4740,41-2021
4750,41-2022
4760,41-2031
4800,41-3011
4810,41-3021
4820,41-3031
4830,41-3041
4840,41-3099
4850,41-4010 
4900,41-9010 
4920,41-9020
4930,41-9031
4940,41-9041
4950,41-9091
4965,41-9099
5000,43-1011 
5010,43-2011
5020,43-2021
5030,43-2099
5100,43-3011
5110,43-3021
5120,43-3031
5130,43-3041
5140,43-3051
5150,43-3061
5160,43-3071
5165,43-3099
5200,43-4011
5210,43-4021
5220,43-4031
5230,43-4041
5240,43-4051
5250,43-4061 
5260,43-4071 
5300,43-4081
5310,43-4111
5320,43-4121
5330,43-4131
5340,43-4141
5350,43-4151
5360,43-4161 
5400,43-4171
5410,43-4181
5420,43-4199 
5500,43-5011
5510,43-5021
5520,43-5030
5530,43-5041
5540,43-5051
5550,43-5052
5560,43-5053 
5600,43-5061
5610,43-5071
5620,43-5081
5630,43-5111 
5700,43-6010 
5800,43-9011
5810,43-9021
5820,43-9022
5830,43-9031
5840,43-9041
5850,43-9051
5860,43-9061 
5910,43-9081
5920,43-9111
5940,43-9199 
6005,45-1011  
6010,45-2011
6020,45-2021 
6040,45-2041
6050,45-2090
6100,45-3011
6110,45-3021
6120,45-4011
6130,45-4020
6200,47-1011
6210,47-2011 
6220,47-2020 
6230,47-2031 
6240,47-2040 
6250,47-2050 
6260,47-2061
6300,47-2071 
6310,47-2072 
6320,47-2073 
6330,47-2080
6355,47-2111
6360,47-2121
6400,47-2130
6420,47-2141
6430,47-2142
6440,47-2150
6460,47-2161
6500,47-2171 
6515,47-2181 
6520,47-2211 
6530,47-2221
6540,47-2231
6600,47-3010
6660,47-4011
6700,47-4021 
6710,47-4031 
6720,47-4041 
6730,47-4051 
6740,47-4061 
6750,47-4071 
6765,47-4090
6800,47-5010 
6820,47-5021
6830,47-5031 
6840,47-5040
6910,47-5061 
6920,47-5071 
6930,47-5081 
7000,49-1011
7010,49-2011
7020,49-2020
7030,49-2091
7040,49-2092
7050,49-2093
7100,49-2094
7100,49-2095
7110,49-2096
7120,49-2097
7130,49-2098
7140,49-3011
7150,49-3021
7160,49-3022 
7200,49-3023
7210,49-3031
7220,49-3040 
7240,49-3050 
7260,49-3090 
7300,49-9010
7315,49-9021
7320,49-9031
7350,49-9043
7360,49-9044
7410,49-9051
7420,49-9052
7430,49-9060
7340,49-9071
7440,49-9081
7510,49-9091
7520,49-9092
7540,49-9094
7550,49-9095
7560,49-9096
7600,49-9097
7610,49-9098
7630,49-9099
7700,51-1011
7710,51-2011 
7720,51-2020 
7730,51-2031 
7740,51-2041 
7750,51-2090
7800,51-3011
7810,51-3020
7830,51-3091
7840,51-3092
7850,51-3093
7855,51-3099
7900,51-4010
7920,51-4021
7930,51-4022
7940,51-4023
7950,51-4031
7960,51-4032
8000,51-4033
8010,51-4034
8020,51-4035
8030,51-4041
8040,51-4050
8060,51-4060
8100,51-4070
8120,51-4081
8130,51-4111
8140,51-4120
8150,51-4191
8160,51-4192
8200,51-4193
8210,51-4194
8220,51-4199
8250,51-5111
8255,51-5112 
8256,51-5113 
8300,51-6011
8310,51-6021
8320,51-6031
8330,51-6041
8340,51-6042
8350,51-6050
8360,51-6061
8400,51-6062
8410,51-6063
8420,51-6064
8430,51-6091
8440,51-6092
8450,51-6093
8460,51-6099
8500,51-7011
8510,51-7021
8520,51-7030
8530,51-7041
8540,51-7042
8550,51-7099
8600,51-8010
8610,51-8021
8620,51-8031
8630,51-8090
8640,51-9010
8650,51-9020
8710,51-9030
8720,51-9041
8730,51-9051
8740,51-9061
8750,51-9071
8760,51-9080
8800,51-9111
8810,51-9120
8840,51-9141
8830,51-9151
8850,51-9191
8860,51-9192
8900,51-9193
8910,51-9194
8920,51-9195
8930,51-9196
8940,51-9197
8950,51-9198
8965,51-9199
9000,53-1000 
9030,53-2010
9040,53-2020 
9050,53-2031
9110,53-3011
9120,53-3020
9130,53-3030
9140,53-3041
9150,53-3099 
9200,53-4010 
9230,53-4021
9240,53-4031 
9260,53-4041
9300,53-5011
9310,53-5020 
9330,53-5031
9340,53-6011
9350,53-6021
9360,53-6031 
9410,53-6051
9415,53-6061
9420,53-6062
9420,53-6063
9420,53-6064
9420,53-6065
9420,53-6066
9420,53-6067
9420,53-6068
9420,53-6069
9420,53-6070
9420,53-6071
9420,53-6072
9420,53-6073
9420,53-6074
9420,53-6075
9420,53-6076
9420,53-6077
9420,53-6078
9420,53-6079
9420,53-6080
9420,53-6081
9420,53-6082
9420,53-6083
9420,53-6084
9420,53-6085
9420,53-6086
9420,53-6087
9420,53-6088
9420,53-6089
9420,53-6090
9420,53-6091
9420,53-6092
9420,53-6093
9420,53-6094
9420,53-6095
9420,53-6096
9420,53-6097
9420,53-6098
9420,53-6099
9500,53-7011
9510,53-7021
9520,53-7030 
9560,53-7041 
9600,53-7051
9610,53-7061
9620,53-7062
9630,53-7063
9640,53-7064
9650,53-7070 
9720,53-7081
9730,53-7111
9740,53-7121
9750,53-7199 
9800,55-1010
9810,55-2010
9820,55-3010
9830,none
9920,none
,
,
,
,
,